,COMPNOS,INCIDENT_TYPE_DESCRIPTION,REPORTINGAREA,FROMDATE,Year,Month,DAY_WEEK,X,Y,STREETNAME,Location
83,120421431.0,LARCENY FROM MOTOR VEHICLE,99,07/08/2012 04:00:00 PM,2012,7,Sunday,776087.7535,2955525.208,POST OFFICE SQ,"(42.35725634, -71.05631456)"
84,120422505.0,LARCENY FROM MOTOR VEHICLE,100,07/08/2012 04:00:00 PM,2012,7,Sunday,776630.1058,2955185.472,FRANKLIN ST,"(42.35631634, -71.05431456)"
85,120419882.0,SIMPLE ASSAULT,784,07/08/2012 04:09:00 PM,2012,7,Sunday,752824.3316,2952548.8430000003,WARREN ST,"(42.34938895, -71.14242987)"
86,120419887.0,ROBBERY,403,07/08/2012 04:13:00 PM,2012,7,Sunday,772576.4249,2928248.165,FULLER ST,"(42.28245637, -71.06981457)"
87,120419871.0,InvProp,38,07/08/2012 04:20:00 PM,2012,7,Sunday,777027.3537,2961902.17,8TH ST,"(42.37474134, -71.05271456)"
88,120419924.0,AGGRAVATED ASSAULT,213,07/08/2012 04:20:00 PM,2012,7,Sunday,778722.6466,2947847.002,W BROADWAY,"(42.33614915, -71.0467171)"
90,120419858.0,MVAcc,651,07/08/2012 04:25:00 PM,2012,7,Sunday,760444.5696,2935549.682,SOUTH ST,"(42.30265136, -71.11452455)"
91,120421187.0,LARCENY FROM MOTOR VEHICLE,100,07/08/2012 04:30:00 PM,2012,7,Sunday,776630.1058,2955185.472,FRANKLIN ST,"(42.35631634, -71.05431456)"
92,120421728.0,LARCENY FROM MOTOR VEHICLE,0,07/08/2012 04:30:00 PM,2012,7,Sunday,767502.2341,2952127.587,NEWBURY ST,"(42.34805135, -71.08813956)"
93,120419954.0,ROBBERY,276,07/08/2012 04:36:00 PM,2012,7,Sunday,768918.0261,2946746.413,SHAWMUT AV,"(42.33326635, -71.08299956)"
94,120419998.0,Argue,352,07/08/2012 04:50:00 PM,2012,7,Sunday,774048.5119,2934609.361,CHARLES ST,"(42.29989136, -71.06425457)"
95,120420016.0,MVAcc,170,07/08/2012 04:55:00 PM,2012,7,Sunday,770246.4519,2948223.4069999997,MASSACHUSETTS AV,"(42.33730135, -71.07805956)"
96,120420073.0,OTHER LARCENY,72,07/08/2012 05:00:00 PM,2012,7,Sunday,776165.5782,2957969.111,WIGET ST,"(42.36396134, -71.05597956)"
97,120428450.0,SIMPLE ASSAULT,304,07/08/2012 05:00:00 PM,2012,7,Sunday,765204.3859,2942419.2210000004,WEAVER CT,"(42.32144135, -71.09680955)"
98,120420492.0,LARCENY FROM MOTOR VEHICLE,108,07/08/2012 05:00:00 PM,2012,7,Sunday,776804.5316,2954652.4960000003,PEARL ST,"(42.35485134, -71.05367956)"
99,120421071.0,LARCENY FROM MOTOR VEHICLE,95,07/08/2012 05:00:00 PM,2012,7,Sunday,777364.6527,2956080.3510000003,ATLANTIC AV,"(42.35876135, -71.05157957)"
100,120422038.0,VANDALISM,135,07/08/2012 05:00:00 PM,2012,7,Sunday,769044.1485,2953846.0760000004,BEACON ST,"(42.35274635, -71.08240456)"
101,120427111.0,VANDALISM,266,07/08/2012 05:00:00 PM,2012,7,Sunday,770400.1993,2943459.37,WINTHROP ST,"(42.32422656, -71.07757817)"
102,120421090.0,LARCENY FROM MOTOR VEHICLE,793,07/08/2012 05:00:00 PM,2012,7,Sunday,754804.8827,2951517.667,BRAINARD ST,"(42.34653635, -71.13511954)"
105,120421637.0,AUTO THEFT,503,07/08/2012 05:30:00 PM,2012,7,Sunday,759724.5313,2928717.1569999997,MT HOPE ST,"(42.28391136, -71.11729954)"
106,120420088.0,Restrain,265,07/08/2012 05:51:00 PM,2012,7,Sunday,770014.5147,2942051.588,WAVERLY ST,"(42.32036878, -71.07903005)"
107,120420090.0,Ballist,257,07/08/2012 05:54:00 PM,2012,7,Sunday,773820.2587,2939453.4489999996,HANCOCK ST,"(42.31318697, -71.06500696)"
108,120420093.0,InvPer,327,07/08/2012 05:54:00 PM,2012,7,Sunday,771246.3715,2939987.483,WOODLEDGE ST,"(42.31468801, -71.07451322)"
109,120420105.0,AGGRAVATED ASSAULT,181,07/08/2012 05:56:00 PM,2012,7,Sunday,772536.6725,2943905.461,LANGDON ST,"(42.32542135, -71.06966956)"
110,120423447.0,AUTO THEFT,808,07/08/2012 06:00:00 PM,2012,7,Sunday,753292.0111,2955773.2180000003,ANTWERP ST,"(42.35823135, -71.14064953)"
111,120427395.0,VANDALISM,139,07/08/2012 06:00:00 PM,2012,7,Sunday,767585.7246,2953310.56,BEACON ST,"(42.35129635, -71.08780955)"
112,120420345.0,LARCENY FROM MOTOR VEHICLE,705,07/08/2012 06:00:00 PM,2012,7,Sunday,751318.9264,2925286.39,FRANCLAIRE DR,"(42.27459636, -71.14841453)"
113,120420085.0,FIRE,914,07/08/2012 06:02:00 PM,2012,7,Sunday,777022.2779,2944821.374,MCDONOUGH WY,"(42.32787135, -71.05306457)"
114,120420187.0,MedAssist,72,07/08/2012 06:15:00 PM,2012,7,Sunday,775087.02,2957120.525,SUDBURY ST,"(42.36164815, -71.05998657)"
115,120420138.0,DRUG CHARGES,333,07/08/2012 06:17:00 PM,2012,7,Sunday,772347.5182,2937832.512,HAMILTON ST,"(42.30875952, -71.07048212)"
116,120420165.0,OTHER LARCENY,72,07/08/2012 06:19:00 PM,2012,7,Sunday,774255.6857,2954822.79,TREMONT ST,"(42.35535484, -71.06310606)"
117,120420164.0,Argue,345,07/08/2012 06:32:00 PM,2012,7,Sunday,774109.2782,2935688.367,DRAPER ST,"(42.30285135, -71.06400956)"
118,120420183.0,Gather,492,07/08/2012 06:40:00 PM,2012,7,Sunday,759178.7906,2923081.078,METROPOLITAN AV,"(42.26845224, -71.11940924)"
119,120420192.0,SIMPLE ASSAULT,564,07/08/2012 06:44:00 PM,2012,7,Sunday,759057.0586,2931855.943,BROOKWAY TR,"(42.2925326, -71.11971445)"
120,120420324.0,OTHER LARCENY,26,07/08/2012 06:48:00 PM,2012,7,Sunday,780495.2382,2961459.611,LIVERPOOL ST,"(42.37347634, -71.03988957)"
121,120420205.0,MVAcc,906,07/08/2012 06:56:00 PM,2012,7,Sunday,763188.1199,2943612.3819999998,WALDEN ST,"(42.32474135, -71.10424455)"
122,120420207.0,MedAssist,564,07/08/2012 06:56:00 PM,2012,7,Sunday,758215.2899,2932227.1089999997,SOUTH ST,"(42.29356136, -71.12281955)"
123,120422568.0,Service,104,07/08/2012 06:59:00 PM,2012,7,Sunday,775283.7829999999,2955236.785,WASHINGTON ST,"(42.35647634, -71.05929456)"
124,120420543.0,PersLoc,911,07/08/2012 07:00:00 PM,2012,7,Sunday,766266.9936,2947557.934,ANNUNCIATION RD,"(42.33552834, -71.09278967)"
